Estado de contrato;Poder adjudicador;Entidad impulsora;Código de contrato;Título;Tipo de contrato;Adjudicatario;Importe de adjudicación con IVA;Fecha de formalización
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000009;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;ALTUNA GORROCHATEGUI, GEMA;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000012;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;APRELL LASAGABASTER, Mª CARMEN;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000124;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;JULIAN DE LA CUESTA ARZAMENDI, SL;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000125;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;KNUTZEN , MARINA;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000093;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;GARMENDIA LARRAÑAGA, MIGUEL;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000126;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;LANDA AGUIRRE, MARTA;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000127;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;LANDA SUESCUN, IGNACIO MARIA;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000128;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;LAPORTA PEREZ, MARIA JESUS;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000096;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;GIL DE GOMEZ JORDANA, CARLOS;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000098;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;GOMEZ MONTALVO, GORKA;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000100;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;GONZALEZ DE LA HUEBRA GARCIA, SOFIA;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000023;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;ARRILLAGA ABASOLO, CRISTINA;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000148;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;MOLINA GARCIA, VANESA;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000050;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;CLINICA DENTAL DAVID AGUIRRE, SL;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000052;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;CLINICA DENTAL HORTZAIN, SL;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000163;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;PAREDES VICANDI, RAMON;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000164;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;PEREZ GARRIDO, MARIA JOSE;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000090;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;GARAIKOETXEA LOPETEGI, RAFAEL;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000051;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;CLINICA DENTAL HDEZ. DE LA HERA, SL;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000054;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;CLINICA DENTAL KAIA, SL;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000055;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;CLINICA DENTAL SAGASTI, SL;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000091;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;GARCIA CASTRO, DANIEL;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000082;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;ELDUARAN HORTZ KLINIKA, SLP;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000085;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;EUSKOBIER PRESTACIONES DENTALES, SL;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000058;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;CLINICA DENTAL VIRGEN DEL CARMEN, SLP;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000059;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;CLINICA DENTAL ZUMAIA, SL;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000149;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;MONFORT LARDIES, JOSE RAMON;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000086;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;FABIAN MORAL, ELISABET;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000087;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;FERNANDEZ-CASADEVANTE GIL-RODRIGO, FERNANDO;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000089;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;FUENTES DE ANDRES, ARMANDO J.;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000150;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;MONTOSA AGUSTIN, JAVIER;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000151;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;MORILLAS ROJO, CAROLINA;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000152;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;MUNDIDENTAL XXI, SL;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000165;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;PEREZ LIEVANO, GUSTAVO ADOLFO;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000166;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;PEÑALVA ESCALADA, FRANCISCO JAVIER;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000167;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;PLAZAOLA AIZPURUA, IRATXE;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000060;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;CLINICA TEKNIBAI, SL;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000061;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;CLINICA TRIVELLI, SL;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000062;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;CORMENZANA RUIZ DE MENDOZA, XABIER;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000168;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;PRESEDO ALBERDI, MARINA;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000169;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;RAFANIELLO IANNOTTI, ANTONIO;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000065;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;DE LOS RIOS DEL RIO, MAIDER;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000069;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;DENTIEDER, SLP;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000153;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;NATENZON GARNICA, GERARDO;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000154;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;NAVARLAZ PEREZ DE IRIARTE, ALFREDO;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000155;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;NAVARRO VIÑUALES, REYES;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000156;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;OIARBIDE MUJIKA, MANUEL IGNACIO;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000157;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;OLALDE ARBIDE, JOSE LUIS;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000071;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;ECHANIZ ROBLES, Mª ARANZAZU;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000072;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;ECHANIZ ROBLES, ROSA Mª;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000073;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;ECHANIZ SCHULTZ, JAVIER;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000076;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;ECHEVERRIA ODRIOZOLA, Mª ANTONIA;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000079;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;EIZAGUIRRE GUIMON, Mª ISABEL;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000037;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;CARMONA ALONSO, JOSE MARIA;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000039;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;CASTRILLO GARCIA, MARIA VISITACION;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000139;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;MARTIN ALONSO, SUSANA;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000140;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;MARTIN FONSECA, MONICA;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000141;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;MARTINEZ GIL, JESUS MARIA;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000142;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;MARTINEZ IBAÑEZ, JESUS MARIA;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000063;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;CORTA ETXANIZ, JUAN MARIA;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000064;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;CRESPO GIMENEZ DE LOS GALANES, NOEMI;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000024;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;ARRIZUBIETA BALERDI, Mª ROSARIO;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000025;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;ARRUABARRENA LEGORBURU, IÑIGO;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000029;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;BASTIDA ECHEVERRIA, NORA;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000030;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;BEITIA ARRIOLA, JONE;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000013;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;ARABAOLAZA MAIZTEGI, ESTHER;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000102;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;GOROSTEGUI & CAMPOS CLINICA DENTAL, SLP;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000092;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;GARCIA GARCIA, LORENA;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000094;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;GARMENDIA PLACENCIA, OLGA;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000014;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;ARAMBURU ARAMBERRI, TELESFORO;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000016;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;ARAT INSTITUTO MEDICO ODONTOLOGICO, SL;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000017;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;ARBIDE TOLOSA, PEDRO;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000066;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;DE MAEZTU MARTINEZ, MIGUEL ANGEL;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000067;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;DE MIGUEL DOMINGUEZ, EUGENIO;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000068;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;DENTAKIUM, SL;5541;31/03/2016
Ejecución;Gobierno Vasco;Salud;P.A. 17/2016 G.S.P.330_00000000000000000000143;Contratación de personas físicas y jurídicas para la prestación de servicios del Programa de Asistencia Dental Infantil (PADI) con consulta en el Territorio Histórico de Gipuzkoa.;Gestión de servicios públicos;MATE OTAÑO, UXUE;5541;31/03/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;CO/17/15328_00000000000000000000001;Contrato de obras de adecuación a la normativa contra incendios en el Centro IES USANDIZAGA-PEÑAFLORIDA BHI (edificio Usandizaga) de Donostia (Gipuzkoa).;Obras;UTE DOCAPI SERVICIOS GENERALES, S.L. Y AR-GOIZARGI, S.L.;383122;30/03/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;025SV/2015331_00000000000000000000001;Planificación y compra de espacios publicitarios en prensa, radio, televisión y publicidad exterior.;Servicios;PUBLICIDAD HEDATU, S.L.U.;450000;30/03/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/065/AURREK327_00000000000000000000001;ADQUISICIÓN DE ROPA DE TRABAJO PARA EL PERSONAL DE MANTENIMIENTO DE VITORIA-GASTEIZ Y BILBAO, 2016;Suministros;WORK&WEAR STORE, SL;5021;30/03/2016
Ejecución;Gobierno Vasco;Salud;CM 082/2016330_00000000000000000000001;Accesorios para el sistema Saveris de control de temperatura;Suministros;NEURYLAN, S.L.;2965;30/03/2016
Ejecución;Gobierno Vasco;EUSTAT - Instituto Vasco de Estadística;Fac 02/2016335_00000000000000000000001;Realización de seis videotutoriales sobre la aplicación Lurdata de Eustat;Servicios;Mikel Mendizabal Arruti;2900;30/03/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;M-050-DEPS2016326_00000000000000000000001;LA SECRETARIA TÉCNICA PARA LA ORGANIZACIÓN DE UNA JORNADA DE TRABAJO (WORLD CAFÉ) SOBRE LA ESTRATEGIA DE EMPLEO 2020;Servicios;EVENTIA 2000, S.L.;7238;29/03/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;086P/2016331_00000000000000000000001;ELABORACIÓN DE ESTUDIOS DE INTEGRACIÓN PAISAJÍSTICA EN LA CAPV;Servicios;FUNDACIÓN TECNALIA RESEARCH & INNOVATION;17666;29/03/2016
Ejecución;Gobierno Vasco;Presidencia del Gobierno - Lehendakaritza;CM/DS/101/2016323_00000000000000000000001;Servicio de traducción a ingles y frances de declaración institucional europea;Servicios;Peter D. Fitzpatrick WORLD CLASS;79;25/03/2016
Ejecución;EJIE, S.A. - Sociedad Informática del Gobierno Vasco;EJIE-Sociedad Informática del Gobierno Vasco;1603033181_00000000000000000000001;Desarrollo Sistema Configuración De usuario para Convocatorias de  Ayudas No Universitarias;Servicios;IBERMÁTICA, S.A.;52726;23/03/2016
Ejecución;Gobierno Vasco;Instituto Vasco de Administración Pública;2016/007332_00000000000000000000001;Realización de traducciones de castellano a euskera;Servicios;MARAMARA TALDEAREN HIZKUNTZA ZERBITZUAK, S.L.;21700;23/03/2016
Ejecución;Gobierno Vasco;EUSTAT - Instituto Vasco de Estadística;13/2016335_00000000000000000000001;Construcción e implantación de la aplicación de gestión de formación de Eustat;Servicios;GRUPO CORPORATIVO GFI NORTE, S.L.;28130;23/03/2016
